visualization_filename, serialization
('BPIC15_3_rev/process_tree_case_size_betwee_13_and_14_noise_20.svg', "->( 'Record submission date request', +( X( tau, 'Applicant is involved' ), 'Period application received', ->( X( tau, 'Log senddate procedure confirmation' ), 'OLO messaging ongoing', +( 'Log senddate acknowledgement', *( 'Issue confirmation receipt', tau ) ), +( 'Normal procedure without MER', ->( X( tau, 'Environmental Report needed' ), +( X( tau, 'Start WABOprocedure' ), ->( +( 'Direct to the competent authority', ->( X( tau, ->( +( X( tau, *( 'No permit necessary or only notification needed', tau ) ), X( tau, 'Terminate on request' ) ), X( tau, 'Inform BAG administrator' ) ) ), X( tau, ->( X( tau, 'MER shown' ), 'Activities for regular procedure', 'Phased application' ) ), X( tau, ->( X( 'Send procedure confirmation', ->( 'Create procedure confirmation', X( tau, 'Create subcases completeness' ) ) ), X( tau, ->( 'Process subcases completeness', X( tau, 'Subcases completeness done' ) ) ), X( tau, ->( 'Update procedure', X( tau, 'Fulfill request' ) ) ) ) ) ) ), X( tau, 'View field phased application' ) ) ) ) ) ) ), X( tau, 'Create publication report', ->( 'Competent authority action', 'Document date termination request received' ), ->( 'Send letter in progress', 'Period application receptive' ), ->( 'Decision date before final decision', 'generate no permit required decision', 'Establish decision status', 'create no permit necessary decision' ), ->( 'phase needs notification only', +( 'Document deadline', ->( +( 'record senddate letter no permit or notification required', 'draft no permit or notification letter' ), 'Phase procedure terminated' ) ), 'Close the file' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_13_and_14_noise_30.svg', "->( 'Record submission date request', X( tau, 'Log senddate procedure confirmation' ), 'OLO messaging ongoing', +( 'Applicant is involved', 'Period application received', ->( +( 'Log senddate acknowledgement', *( 'Issue confirmation receipt', tau ) ), X( tau, *( 'No permit necessary or only notification needed', tau ) ) ) ), X( tau, ->( X( tau, 'Calculate provisional charges' ), 'Terminate on request', X( tau, 'Inform BAG administrator' ) ) ), +( 'Normal procedure without MER', ->( X( tau, 'Environmental Report needed' ), +( 'Direct to the competent authority', ->( X( tau, ->( X( tau, 'MER shown' ), 'Activities for regular procedure', 'Phased application' ) ), X( tau, ->( 'Send procedure confirmation', X( tau, ->( 'Process subcases completeness', 'Subcases completeness done' ) ) ) ), X( tau, ->( 'Create procedure confirmation', 'Create subcases completeness' ) ), X( tau, ->( 'Update procedure', X( tau, 'Fulfill request' ) ) ), 'Start WABOprocedure' ) ) ) ), X( tau, 'View field phased application' ), X( tau, 'Create publication report', ->( 'Competent authority action', 'Document date termination request received' ), ->( 'Send letter in progress', 'Period application receptive' ), ->( 'Decision date before final decision', 'generate no permit required decision', 'Establish decision status', 'create no permit necessary decision' ), ->( 'phase needs notification only', +( 'Document deadline', ->( +( 'record senddate letter no permit or notification required', 'draft no permit or notification letter' ), 'Phase procedure terminated' ) ), 'Close the file' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_13_and_14_noise_40.svg', "->( 'Record submission date request', +( 'Applicant is involved', 'Period application received', ->( X( tau, 'Log senddate procedure confirmation' ), X( 'OLO messaging ongoing', 'Reception through OLO system' ), *( 'Issue confirmation receipt', tau ), 'Log senddate acknowledgement', X( tau, 'Calculate provisional charges' ), X( *( 'No permit necessary or only notification needed', tau ), ->( X( tau, ->( 'Terminate on request', X( tau, 'Inform BAG administrator' ) ) ), +( 'Normal procedure without MER', ->( X( tau, 'Environmental Report needed' ), +( 'Direct to the competent authority', ->( X( tau, 'MER shown' ), 'Activities for regular procedure', 'Phased application', X( tau, ->( X( ->( 'Create procedure confirmation', 'Create subcases completeness' ), ->( 'Send procedure confirmation', X( tau, ->( 'Process subcases completeness', 'Subcases completeness done' ) ) ) ), X( tau, ->( 'Update procedure', 'Fulfill request' ) ) ) ) ) ) ) ), +( 'Start WABOprocedure', X( tau, 'View field phased application' ) ) ) ) ) ), X( tau, 'Create publication report', ->( 'Competent authority action', 'Document date termination request received' ), ->( 'Send letter in progress', 'Period application receptive' ), ->( 'Decision date before final decision', 'generate no permit required decision', 'Establish decision status', 'create no permit necessary decision' ), ->( 'phase needs notification only', +( 'Document deadline', ->( +( 'record senddate letter no permit or notification required', 'draft no permit or notification letter' ), 'Phase procedure terminated' ) ), 'Close the file' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_13_and_14_noise_50.svg', "->( 'Record submission date request', X( tau, +( 'Applicant is involved', 'Period application received', ->( X( tau, 'Log senddate procedure confirmation' ), X( 'OLO messaging ongoing', 'Reception through OLO system' ), *( 'Issue confirmation receipt', tau ), 'Log senddate acknowledgement', X( tau, 'Calculate provisional charges' ), X( *( 'No permit necessary or only notification needed', tau ), ->( X( tau, ->( 'Terminate on request', 'Inform BAG administrator' ), ->( X( ->( 'Process subcases completeness', 'Subcases completeness done' ), ->( 'Create procedure confirmation', 'Create subcases completeness' ) ), 'Update procedure', 'Fulfill request' ) ), +( 'Direct to the competent authority', ->( 'Normal procedure without MER', X( 'MER shown', 'Environmental Report needed' ), 'Activities for regular procedure', 'Phased application' ) ), +( 'Start WABOprocedure', X( tau, 'View field phased application' ) ) ) ) ) ) ), X( tau, 'Create publication report', ->( 'Competent authority action', 'Document date termination request received' ), ->( 'Send letter in progress', 'Period application receptive' ), ->( 'Decision date before final decision', 'generate no permit required decision', 'Establish decision status', 'create no permit necessary decision' ), ->( 'phase needs notification only', +( 'Document deadline', ->( +( 'record senddate letter no permit or notification required', 'draft no permit or notification letter' ), 'Phase procedure terminated' ) ), 'Close the file' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_13_and_14_noise_60.svg', "->( 'Record submission date request', X( tau, +( 'Applicant is involved', 'Period application received', ->( X( tau, 'Log senddate procedure confirmation' ), X( 'OLO messaging ongoing', 'Reception through OLO system' ), *( 'Issue confirmation receipt', tau ), 'Log senddate acknowledgement', X( tau, 'Calculate provisional charges' ), X( *( 'No permit necessary or only notification needed', tau ), ->( X( tau, ->( 'Terminate on request', 'Inform BAG administrator' ), ->( X( ->( 'Process subcases completeness', 'Subcases completeness done' ), ->( 'Create procedure confirmation', 'Create subcases completeness' ) ), 'Update procedure', 'Fulfill request' ) ), +( 'Direct to the competent authority', ->( 'Normal procedure without MER', 'MER shown', 'Activities for regular procedure', 'Phased application' ) ), +( 'Start WABOprocedure', X( tau, 'View field phased application' ) ) ) ) ) ) ), X( tau, 'Create publication report', ->( 'Competent authority action', 'Document date termination request received' ), ->( 'Send letter in progress', 'Period application receptive' ), ->( 'Decision date before final decision', 'generate no permit required decision', 'Establish decision status', 'create no permit necessary decision' ), ->( 'phase needs notification only', +( 'Document deadline', ->( +( 'record senddate letter no permit or notification required', 'draft no permit or notification letter' ), 'Phase procedure terminated' ) ), 'Close the file' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_13_and_14_noise_70.svg', "->( 'Record submission date request', X( tau, +( 'Applicant is involved', 'Period application received', ->( X( tau, 'Log senddate procedure confirmation' ), X( 'OLO messaging ongoing', 'Reception through OLO system' ), *( 'Issue confirmation receipt', tau ), 'Log senddate acknowledgement', X( tau, 'Calculate provisional charges' ), X( *( 'No permit necessary or only notification needed', tau ), ->( X( tau, ->( 'Terminate on request', 'Inform BAG administrator' ), ->( X( ->( 'Process subcases completeness', 'Subcases completeness done' ), ->( 'Create procedure confirmation', 'Create subcases completeness' ) ), 'Update procedure', 'Fulfill request' ) ), +( 'Direct to the competent authority', ->( 'Normal procedure without MER', 'MER shown', 'Activities for regular procedure', 'Phased application' ) ), +( 'Start WABOprocedure', X( tau, 'View field phased application' ) ) ) ) ) ) ), X( 'Create publication report', ->( 'Competent authority action', 'Document date termination request received' ), ->( 'Send letter in progress', 'Period application receptive' ), ->( 'Decision date before final decision', 'generate no permit required decision', 'Establish decision status', 'create no permit necessary decision' ), ->( 'phase needs notification only', +( 'Document deadline', ->( +( 'record senddate letter no permit or notification required', 'draft no permit or notification letter' ), 'Phase procedure terminated' ) ), 'Close the file' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_13_and_14_noise_80.svg', "->( 'Record submission date request', X( tau, ->( +( 'Applicant is involved', 'Period application received', ->( X( tau, 'Log senddate procedure confirmation' ), X( 'OLO messaging ongoing', 'Reception through OLO system' ), *( 'Issue confirmation receipt', tau ), 'Log senddate acknowledgement', X( 'Calculate provisional charges', 'Environmental Report needed' ), +( 'Direct to the competent authority', ->( X( ->( 'Process subcases completeness', 'Subcases completeness done' ), ->( X( 'No permit required for submission', ->( 'Terminate on request', 'Inform BAG administrator' ) ), 'MER shown', 'Activities for regular procedure', 'Phased application', 'Create procedure confirmation', 'Create subcases completeness' ) ), 'Update procedure', 'Fulfill request' ) ) ) ), 'Normal procedure without MER', +( 'Start WABOprocedure', X( tau, 'View field phased application' ) ) ) ), X( 'Create publication report', ->( 'Competent authority action', 'Document date termination request received' ), ->( 'Send letter in progress', 'Period application receptive' ), ->( 'Decision date before final decision', 'generate no permit required decision', 'Establish decision status', 'create no permit necessary decision' ), ->( 'phase needs notification only', +( 'Document deadline', ->( +( 'record senddate letter no permit or notification required', 'draft no permit or notification letter' ), 'Phase procedure terminated' ) ), 'Close the file' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_13_and_14_noise_90.svg', "->( 'Record submission date request', X( tau, ->( +( 'Applicant is involved', 'Period application received', ->( 'Log senddate procedure confirmation', X( 'OLO messaging ongoing', 'Reception through OLO system' ), *( 'Issue confirmation receipt', tau ), 'Log senddate acknowledgement', X( 'Calculate provisional charges', 'Environmental Report needed' ), +( 'Direct to the competent authority', ->( X( ->( 'Process subcases completeness', 'Subcases completeness done' ), ->( X( 'No permit required for submission', ->( 'Terminate on request', 'Inform BAG administrator' ) ), 'MER shown', 'Activities for regular procedure', 'Phased application', 'Create procedure confirmation', 'Create subcases completeness' ) ), 'Update procedure', 'Fulfill request' ) ) ) ), 'Normal procedure without MER', +( 'Start WABOprocedure', 'View field phased application' ) ) ), X( 'Create publication report', ->( 'Competent authority action', 'Document date termination request received' ), ->( 'Send letter in progress', 'Period application receptive' ), ->( 'Decision date before final decision', 'generate no permit required decision', 'Establish decision status', 'create no permit necessary decision' ), ->( 'phase needs notification only', +( 'Document deadline', ->( +( 'record senddate letter no permit or notification required', 'draft no permit or notification letter' ), 'Phase procedure terminated' ) ), 'Close the file' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_14_and_14_noise_10.svg', "->( 'Record submission date request', X( tau, 'OLO messaging ongoing' ), +( X( tau, 'Applicant is involved' ), 'Period application received', ->( *( ->( 'Issue confirmation receipt', X( tau, 'Log senddate acknowledgement' ) ), tau ), +( X( tau, 'Direct to the competent authority' ), ->( X( tau, 'No permit necessary or only notification needed' ), X( tau, +( 'Normal procedure without MER', ->( X( tau, ->( 'Send procedure confirmation', 'Process subcases completeness', 'Subcases completeness done' ), 'Environmental Report needed' ), +( X( tau, 'Create procedure confirmation' ), ->( X( tau, ->( X( tau, 'Create subcases completeness' ), 'Update procedure', 'Fulfill request' ) ), X( tau, +( X( tau, 'Start WABOprocedure' ), X( tau, ->( X( tau, ->( 'Terminate on request', X( tau, 'Inform BAG administrator' ) ) ), X( tau, ->( X( tau, 'MER shown' ), 'Activities for regular procedure', 'Phased application', X( tau, 'View field phased application' ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ), X( tau, ->( 'Competent authority action', 'Document date termination request received' ), ->( 'Send letter in progress', 'Period application receptive' ), ->( 'phase needs notification only', +( 'Document deadline', ->( +( 'record senddate letter no permit or notification required', 'draft no permit or notification letter' ), 'Phase procedure terminated' ) ), 'Close the file' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_14_and_14_noise_20.svg', "->( 'Record submission date request', 'OLO messaging ongoing', +( 'Applicant is involved', 'Period application received', ->( *( 'Issue confirmation receipt', tau ), 'Log senddate acknowledgement', +( X( tau, 'Direct to the competent authority' ), ->( X( tau, 'No permit necessary or only notification needed' ), X( tau, +( 'Normal procedure without MER', ->( X( tau, ->( 'Send procedure confirmation', 'Process subcases completeness', 'Subcases completeness done' ), 'Environmental Report needed' ), +( X( tau, 'Create procedure confirmation' ), ->( X( tau, ->( X( tau, 'Create subcases completeness' ), 'Update procedure', 'Fulfill request' ) ), +( 'Start WABOprocedure', ->( X( tau, ->( 'Terminate on request', X( tau, 'Inform BAG administrator' ) ) ), X( tau, ->( X( tau, 'MER shown' ), 'Activities for regular procedure', 'Phased application', X( tau, 'View field phased application' ) ) ) ) ) ) ) ) ) ) ) ) ) ), X( tau, ->( 'Competent authority action', 'Document date termination request received' ), ->( 'Send letter in progress', 'Period application receptive' ), ->( 'phase needs notification only', +( 'Document deadline', ->( +( 'record senddate letter no permit or notification required', 'draft no permit or notification letter' ), 'Phase procedure terminated' ) ), 'Close the file' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_14_and_14_noise_30.svg', "->( 'Record submission date request', 'OLO messaging ongoing', +( 'Applicant is involved', 'Period application received', ->( *( 'Issue confirmation receipt', tau ), 'Log senddate acknowledgement', +( 'Direct to the competent authority', ->( X( tau, 'No permit necessary or only notification needed' ), +( 'Normal procedure without MER', ->( X( tau, ->( 'Send procedure confirmation', 'Process subcases completeness', 'Subcases completeness done' ), 'Environmental Report needed' ), +( X( tau, 'Create procedure confirmation' ), ->( X( tau, ->( X( tau, 'Create subcases completeness' ), 'Update procedure', 'Fulfill request' ) ), +( 'Start WABOprocedure', ->( X( tau, ->( 'Terminate on request', X( tau, 'Inform BAG administrator' ) ) ), X( tau, 'MER shown' ), 'Activities for regular procedure', 'Phased application', X( tau, 'View field phased application' ) ) ) ) ) ) ) ) ) ) ), X( tau, ->( 'Competent authority action', 'Document date termination request received' ), ->( 'Send letter in progress', 'Period application receptive' ), ->( 'phase needs notification only', +( 'Document deadline', ->( +( 'record senddate letter no permit or notification required', 'draft no permit or notification letter' ), 'Phase procedure terminated' ) ), 'Close the file' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_14_and_14_noise_40.svg', "->( 'Record submission date request', 'OLO messaging ongoing', +( 'Applicant is involved', 'Period application received', ->( *( 'Issue confirmation receipt', tau ), 'Log senddate acknowledgement', X( tau, 'No permit necessary or only notification needed' ) ) ), +( 'Normal procedure without MER', ->( X( tau, 'Environmental Report needed' ), +( X( tau, 'Create procedure confirmation' ), ->( X( tau, 'Create subcases completeness' ), +( 'Direct to the competent authority', ->( X( tau, ->( X( tau, ->( 'Send procedure confirmation', 'Process subcases completeness', 'Subcases completeness done' ) ), 'Update procedure', 'Fulfill request' ) ), +( 'Start WABOprocedure', ->( X( tau, ->( 'Terminate on request', X( tau, 'Inform BAG administrator' ) ) ), 'MER shown', 'Activities for regular procedure', 'Phased application', 'View field phased application' ) ) ) ) ) ) ) ), X( tau, ->( 'Competent authority action', 'Document date termination request received' ), ->( 'Send letter in progress', 'Period application receptive' ), ->( 'phase needs notification only', +( 'Document deadline', ->( +( 'record senddate letter no permit or notification required', 'draft no permit or notification letter' ), 'Phase procedure terminated' ) ), 'Close the file' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_14_and_14_noise_50.svg', "->( 'Record submission date request', 'OLO messaging ongoing', +( 'Applicant is involved', 'Period application received', ->( *( 'Issue confirmation receipt', tau ), 'Log senddate acknowledgement', X( 'No permit necessary or only notification needed', ->( X( tau, ->( 'Send procedure confirmation', 'Process subcases completeness', 'Subcases completeness done' ) ), +( X( tau, 'Create procedure confirmation' ), ->( X( tau, ->( 'Create subcases completeness', 'Update procedure', 'Fulfill request' ) ), 'Direct to the competent authority', 'Terminate on request' ) ), X( tau, 'Inform BAG administrator' ), 'Normal procedure without MER', X( 'MER shown', 'Environmental Report needed' ), 'Activities for regular procedure', 'Phased application', X( tau, 'View field phased application' ), 'Start WABOprocedure' ) ) ) ), X( ->( 'Competent authority action', 'Document date termination request received' ), ->( 'Send letter in progress', 'Period application receptive' ), ->( 'phase needs notification only', +( 'Document deadline', ->( +( 'record senddate letter no permit or notification required', 'draft no permit or notification letter' ), 'Phase procedure terminated' ) ), 'Close the file' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_14_and_14_noise_60.svg', "->( 'Record submission date request', 'OLO messaging ongoing', +( 'Applicant is involved', 'Period application received', ->( *( 'Issue confirmation receipt', tau ), 'Log senddate acknowledgement', X( 'No permit necessary or only notification needed', ->( X( tau, ->( 'Send procedure confirmation', 'Process subcases completeness', 'Subcases completeness done' ) ), +( 'Create procedure confirmation', ->( 'Create subcases completeness', 'Update procedure', 'Fulfill request', 'Direct to the competent authority', 'Terminate on request' ) ), X( tau, 'Inform BAG administrator' ), 'Normal procedure without MER', X( 'MER shown', 'Environmental Report needed' ), 'Activities for regular procedure', 'Phased application', X( tau, 'View field phased application' ), 'Start WABOprocedure' ) ) ) ), X( ->( 'Competent authority action', 'Document date termination request received' ), ->( 'Send letter in progress', 'Period application receptive' ), ->( 'phase needs notification only', +( 'Document deadline', ->( +( 'record senddate letter no permit or notification required', 'draft no permit or notification letter' ), 'Phase procedure terminated' ) ), 'Close the file' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_14_and_14_noise_80.svg', "->( 'Record submission date request', 'OLO messaging ongoing', +( 'Applicant is involved', 'Period application received', ->( *( 'Issue confirmation receipt', tau ), 'Log senddate acknowledgement', X( 'No permit necessary or only notification needed', ->( 'Send procedure confirmation', 'Process subcases completeness', 'Subcases completeness done', +( 'Create procedure confirmation', ->( 'Create subcases completeness', 'Update procedure', 'Fulfill request', 'Direct to the competent authority', 'Terminate on request' ) ), 'Inform BAG administrator', 'Normal procedure without MER', X( 'MER shown', 'Environmental Report needed' ), 'Activities for regular procedure', 'Phased application', X( tau, 'View field phased application' ), 'Start WABOprocedure' ) ) ) ), X( ->( 'Competent authority action', 'Document date termination request received' ), ->( 'Send letter in progress', 'Period application receptive' ), ->( 'phase needs notification only', +( 'Document deadline', ->( +( 'record senddate letter no permit or notification required', 'draft no permit or notification letter' ), 'Phase procedure terminated' ) ), 'Close the file' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_14_and_14_noise_90.svg', "->( 'Record submission date request', 'OLO messaging ongoing', +( 'Applicant is involved', 'Period application received', ->( *( 'Issue confirmation receipt', tau ), 'Log senddate acknowledgement', X( 'No permit necessary or only notification needed', ->( 'Send procedure confirmation', 'Process subcases completeness', 'Subcases completeness done', +( 'Create procedure confirmation', ->( 'Create subcases completeness', 'Update procedure', 'Fulfill request', 'Direct to the competent authority', 'Terminate on request' ) ), 'Inform BAG administrator', 'Normal procedure without MER', X( 'MER shown', 'Environmental Report needed' ), 'Activities for regular procedure', 'Phased application', 'View field phased application', 'Start WABOprocedure' ) ) ) ), X( ->( 'Competent authority action', 'Document date termination request received' ), ->( 'Send letter in progress', 'Period application receptive' ), ->( 'phase needs notification only', +( 'Document deadline', ->( +( 'record senddate letter no permit or notification required', 'draft no permit or notification letter' ), 'Phase procedure terminated' ) ), 'Close the file' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_14_and_16_noise_10.svg', "->( 'Record submission date request', X( tau, 'OLO messaging ongoing' ), +( X( tau, 'Applicant is involved' ), 'Period application received', ->( +( 'Log senddate acknowledgement', *( 'Issue confirmation receipt', tau ) ), X( tau, 'Register date publication' ), +( X( tau, 'Direct to the competent authority' ), ->( X( tau, 'No permit necessary or only notification needed' ), X( tau, +( 'Normal procedure without MER', ->( X( tau, 'Environmental Report needed' ), +( X( tau, 'Start WABOprocedure' ), ->( X( tau, ->( 'Terminate on request', X( tau, 'Inform BAG administrator' ) ) ), X( tau, ->( X( tau, 'MER shown' ), 'Activities for regular procedure', 'Phased application' ) ), X( tau, 'Create procedure confirmation', ->( 'First or second stage', 'Duration of 14 or 26 weeks', 'Initiate phased application' ) ), X( tau, 'View field phased application' ), X( tau, +( 'Send procedure confirmation', X( tau, 'Log senddate procedure confirmation' ) ) ), X( tau, ->( X( tau, 'Announce' ), X( tau, 'Create subcases completeness' ), X( tau, 'Process subcases completeness' ), +( X( tau, 'Subcases completeness done' ), X( tau, 'Fulfill request' ), X( tau, 'Update procedure' ) ), X( tau, ->( 'Period for supplying missing data', X( tau, 'Create letter to request missing data' ) ) ) ) ) ) ) ) ) ) ) ) ) ), X( tau, 'Fetch missing data', ->( 'Competent authority action', 'Document date termination request received' ), ->( 'Send letter in progress', 'Period application receptive' ), ->( 'phase needs notification only', +( 'Document deadline', ->( +( 'record senddate letter no permit or notification required', 'draft no permit or notification letter' ), 'Phase procedure terminated' ) ), 'Close the file' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_14_and_16_noise_20.svg', "->( 'Record submission date request', X( tau, 'OLO messaging ongoing' ), +( X( tau, 'Applicant is involved' ), 'Period application received', ->( +( 'Log senddate acknowledgement', *( 'Issue confirmation receipt', tau ) ), +( 'Direct to the competent authority', ->( X( tau, 'No permit necessary or only notification needed' ), +( 'Normal procedure without MER', ->( X( tau, 'Environmental Report needed' ), +( X( tau, 'Start WABOprocedure' ), ->( X( tau, ->( 'Terminate on request', X( tau, 'Inform BAG administrator' ) ) ), X( tau, ->( X( tau, 'MER shown' ), 'Activities for regular procedure', 'Phased application' ) ), X( tau, 'Initiate phased application', 'Create procedure confirmation' ), X( tau, 'View field phased application' ), X( tau, +( 'Send procedure confirmation', X( tau, 'Log senddate procedure confirmation' ) ) ), X( tau, ->( X( tau, 'Announce' ), X( tau, 'Create subcases completeness' ), X( tau, 'Process subcases completeness' ), +( X( tau, 'Subcases completeness done' ), X( tau, 'Fulfill request' ), X( tau, 'Update procedure' ) ), X( tau, ->( 'Period for supplying missing data', X( tau, 'Create letter to request missing data' ) ) ) ) ) ) ) ) ) ) ) ) ), X( tau, 'Fetch missing data', ->( 'Competent authority action', 'Document date termination request received' ), ->( 'Send letter in progress', 'Period application receptive' ), ->( 'phase needs notification only', +( 'Document deadline', ->( +( 'record senddate letter no permit or notification required', 'draft no permit or notification letter' ), 'Phase procedure terminated' ) ), 'Close the file' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_14_and_16_noise_30.svg', "->( 'Record submission date request', 'OLO messaging ongoing', +( X( tau, 'Applicant is involved' ), 'Period application received', ->( +( 'Log senddate acknowledgement', *( 'Issue confirmation receipt', tau ) ), +( 'Direct to the competent authority', ->( X( tau, 'No permit necessary or only notification needed' ), +( 'Normal procedure without MER', ->( X( tau, 'Environmental Report needed' ), +( X( tau, 'Start WABOprocedure' ), ->( X( tau, ->( 'Terminate on request', X( tau, 'Inform BAG administrator' ) ) ), X( tau, ->( X( tau, 'MER shown' ), 'Activities for regular procedure', 'Phased application' ) ), X( tau, 'Initiate phased application', 'Create procedure confirmation' ), X( tau, 'View field phased application' ), X( tau, +( 'Send procedure confirmation', X( tau, 'Log senddate procedure confirmation' ) ) ), X( tau, ->( X( tau, 'Announce' ), X( tau, 'Create subcases completeness' ), 'Process subcases completeness', X( tau, 'Subcases completeness done' ), 'Update procedure', 'Fulfill request', X( tau, ->( 'Period for supplying missing data', X( tau, 'Create letter to request missing data' ) ) ) ) ) ) ) ) ) ) ) ) ), X( tau, 'Fetch missing data', ->( 'Competent authority action', 'Document date termination request received' ), ->( 'Send letter in progress', 'Period application receptive' ), ->( 'phase needs notification only', +( 'Document deadline', ->( +( 'record senddate letter no permit or notification required', 'draft no permit or notification letter' ), 'Phase procedure terminated' ) ), 'Close the file' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_14_and_16_noise_40.svg', "->( 'Record submission date request', 'OLO messaging ongoing', +( 'Applicant is involved', 'Period application received', ->( +( 'Log senddate acknowledgement', *( 'Issue confirmation receipt', tau ) ), +( 'Direct to the competent authority', ->( 'Normal procedure without MER', X( tau, ->( X( 'MER shown', 'Environmental Report needed' ), 'Activities for regular procedure', 'Phased application' ) ), X( tau, 'Create procedure confirmation' ), X( tau, +( 'Send procedure confirmation', X( tau, 'Log senddate procedure confirmation' ) ) ), X( tau, ->( X( tau, 'Announce' ), X( tau, 'Create subcases completeness' ), 'Process subcases completeness', X( tau, 'Subcases completeness done' ), 'Update procedure', 'Fulfill request', X( tau, ->( 'Period for supplying missing data', X( tau, 'Create letter to request missing data' ) ) ) ) ) ) ) ) ), X( tau, 'Start WABOprocedure' ), X( tau, 'Fetch missing data', ->( 'Competent authority action', 'Document date termination request received' ), ->( 'Send letter in progress', 'Period application receptive' ), ->( 'phase needs notification only', +( 'Document deadline', ->( +( 'record senddate letter no permit or notification required', 'draft no permit or notification letter' ), 'Phase procedure terminated' ) ), 'Close the file' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_14_and_16_noise_50.svg', "->( 'Record submission date request', 'OLO messaging ongoing', X( tau, ->( +( 'Applicant is involved', *( 'Issue confirmation receipt', tau ), 'Period application received' ), 'Log senddate acknowledgement', X( tau, 'Record senddate retrieve missing data', ->( 'Terminate on request', 'Inform BAG administrator' ) ), +( 'Normal procedure without MER', ->( X( tau, 'Environmental Report needed' ), X( tau, ->( 'MER shown', 'Activities for regular procedure', 'Phased application' ) ), X( tau, ->( 'Create procedure confirmation', 'Create subcases completeness' ) ), +( 'Direct to the competent authority', ->( +( 'Send procedure confirmation', 'Log senddate procedure confirmation' ), 'Process subcases completeness', 'Subcases completeness done', 'Update procedure', 'Fulfill request', X( tau, ->( 'Period for supplying missing data', 'Create letter to request missing data' ) ) ) ) ) ) ) ), X( tau, 'Fetch missing data', ->( 'Competent authority action', 'Document date termination request received' ), ->( 'Send letter in progress', 'Period application receptive' ), ->( 'phase needs notification only', +( 'Document deadline', ->( +( 'record senddate letter no permit or notification required', 'draft no permit or notification letter' ), 'Phase procedure terminated' ) ), 'Close the file' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_14_and_16_noise_60.svg', "->( 'Record submission date request', 'OLO messaging ongoing', X( tau, ->( X( tau, 'Applicant is involved' ), +( *( 'Issue confirmation receipt', tau ), 'Period application received' ), 'Log senddate acknowledgement', X( tau, 'Record senddate retrieve missing data', ->( 'Terminate on request', 'Inform BAG administrator' ) ), +( 'Normal procedure without MER', ->( X( tau, 'Environmental Report needed' ), 'MER shown', 'Activities for regular procedure', 'Phased application', X( tau, ->( 'Create procedure confirmation', 'Create subcases completeness' ) ), X( tau, +( 'Send procedure confirmation', 'Log senddate procedure confirmation' ) ), 'Process subcases completeness', 'Subcases completeness done', 'Update procedure', 'Fulfill request', 'Period for supplying missing data', 'Create letter to request missing data', 'Direct to the competent authority' ) ) ) ), X( tau, 'Fetch missing data', ->( 'Competent authority action', 'Document date termination request received' ), ->( 'Send letter in progress', 'Period application receptive' ), ->( 'phase needs notification only', +( 'Document deadline', ->( +( 'record senddate letter no permit or notification required', 'draft no permit or notification letter' ), 'Phase procedure terminated' ) ), 'Close the file' ) ) )")
('BPIC15_3_rev/process_tree_case_size_betwee_14_and_16_noise_70.svg', "->( 'Record submission date request', 'OLO messaging ongoing', X( tau, ->( 'Applicant is involved', 'Period application received', X( tau, 'Reception through OLO system' ), *( 'Issue confirmation receipt', tau ), 'Log senddate acknowledgement', X( tau, 'Record senddate retrieve missing data', ->( 'Terminate on request', 'Inform BAG administrator' ) ), +( 'Normal procedure without MER', ->( X( tau, 'Environmental Report needed' ), 'MER shown', 'Activities for regular procedure', 'Phased application', 'Create procedure confirmation', 'Create subcases completeness', X( tau, 'Send procedure confirmation' ), 'Process subcases completeness', 'Subcases completeness done', 'Update procedure', 'Fulfill request', 'Period for supplying missing data', 'Create letter to request missing data', 'Direct to the competent authority' ) ) ) ), X( 'Fetch missing data', ->( 'Competent authority action', 'Document date termination request received' ), ->( 'Send letter in progress', 'Period application receptive' ), ->( 'phase needs notification only', +( 'Document deadline', ->( +( 'record senddate letter no permit or notification required', 'draft no permit or notification letter' ), 'Phase procedure terminated' ) ), 'Close the file' ) ) )")
